id,flight_date,flight_status,flight_number,flight_iata,flight_icao,airline_name,airline_iata,airline_icao,depart_airport,depart_timezone,depart_iata,depart_icao,depart_terminal,depart_gate,depart_delay,depart_scheduled,depart_estimated,depart_actual,depart_estimated_runway,depart_actual_runway,arrival_airport,arrival_timezone,arrival_iata,arrival_icao,arrival_terminal,arrival_gate,arrival_baggage,arrival_delay,arrival_scheduled,arrival_estimated,arrival_actual,arrival_estimated_runway,arrival_actual_runway,aircraft_registration,aircraft_iata,aircraft_icao,aircraft_icao24
2024-04-19DL5074None,2024-04-19,landed,5074,DL5074,DAL5074,Delta Air Lines,DL,DAL,Hartsfield-jackson Atlanta International,America/New_York,ATL,KATL,S,D46,19,2024-04-19T21:05:00+00:00,2024-04-19T21:05:00+00:00,2024-04-19T21:23:00+00:00,2024-04-19T21:23:00+00:00,2024-04-19T21:23:00+00:00,Golden Triangle Reg.,America/Chicago,GTR,KGTR,S,G01,,,2024-04-19T21:18:00+00:00,2024-04-19T21:18:00+00:00,2024-04-19T21:06:00+00:00,2024-04-19T21:06:00+00:00,2024-04-19T21:06:00+00:00,None,None,None,None
2024-04-19DL8167None,2024-04-19,landed,8167,DL8167,DAL8167,Delta Air Lines,DL,DAL,Internacional Benito Juarez,America/Mexico_City,MEX,MMMX,2,A,89,2024-04-19T16:50:00+00:00,2024-04-19T16:50:00+00:00,2024-04-19T18:19:00+00:00,2024-04-19T18:19:00+00:00,2024-04-19T18:19:00+00:00,Puerto Escondido,America/Mexico_City,PXM,MMPS,C,,,51,2024-04-19T18:19:00+00:00,2024-04-19T18:19:00+00:00,2024-04-19T19:09:00+00:00,2024-04-19T19:09:00+00:00,2024-04-19T19:09:00+00:00,None,None,None,None
2024-04-19DL8142None,2024-04-19,landed,8142,DL8142,DAL8142,Delta Air Lines,DL,DAL,Internacional Benito Juarez,America/Mexico_City,MEX,MMMX,2,B,26,2024-04-19T17:20:00+00:00,2024-04-19T17:20:00+00:00,2024-04-19T17:46:00+00:00,2024-04-19T17:46:00+00:00,2024-04-19T17:46:00+00:00,Minatitlan,America/Mexico_City,MTT,MMMT,2,,,,2024-04-19T18:52:00+00:00,2024-04-19T18:52:00+00:00,2024-04-19T18:38:00+00:00,2024-04-19T18:38:00+00:00,2024-04-19T18:38:00+00:00,None,None,None,None
2024-04-19DL973None,2024-04-19,landed,973,DL973,DAL973,Delta Air Lines,DL,DAL,Logan International,America/New_York,BOS,KBOS,A,A18,72,2024-04-19T20:35:00+00:00,2024-04-19T20:35:00+00:00,2024-04-19T21:47:00+00:00,2024-04-19T21:47:00+00:00,2024-04-19T21:47:00+00:00,Hartsfield-jackson Atlanta International,America/New_York,ATL,KATL,S,B2,6,35,2024-04-19T23:28:00+00:00,2024-04-19T23:28:00+00:00,2024-04-20T00:02:00+00:00,2024-04-20T00:02:00+00:00,2024-04-20T00:02:00+00:00,None,None,None,None
2024-04-19DL154B763,2024-04-19,landed,154,DL154,DAL154,Delta Air Lines,DL,DAL,Logan International,America/New_York,BOS,KBOS,E,E4,20,2024-04-19T20:30:00+00:00,2024-04-19T20:30:00+00:00,2024-04-19T20:49:00+00:00,2024-04-19T20:49:00+00:00,2024-04-19T20:49:00+00:00,Dublin International,Europe/Dublin,DUB,EIDW,2,414,4,,2024-04-20T07:45:00+00:00,2024-04-20T07:45:00+00:00,2024-04-20T07:32:00+00:00,2024-04-20T07:32:00+00:00,2024-04-20T07:32:00+00:00,N1200K,B763,B763,A05614
2024-04-19DL7084None,2024-04-19,landed,7084,DL7084,DAL7084,Delta Air Lines,DL,DAL,George Bush Intercontinental,America/Chicago,IAH,KIAH,A,11,19,2024-04-19T13:30:00+00:00,2024-04-19T13:30:00+00:00,2024-04-19T13:27:00+00:00,2024-04-19T13:27:00+00:00,2024-04-19T13:27:00+00:00,Calgary International Airport,America/Edmonton,YYC,CYYC,MA,D86,,,2024-04-19T16:50:00+00:00,2024-04-19T16:50:00+00:00,2024-04-19T16:12:00+00:00,2024-04-19T16:12:00+00:00,2024-04-19T16:12:00+00:00,None,None,None,None
2024-04-19DL5192CRJ9,2024-04-19,landed,5192,DL5192,DAL5192,Delta Air Lines,DL,DAL,La Guardia,America/New_York,LGA,KLGA,C,94,22,2024-04-19T17:20:00+00:00,2024-04-19T17:20:00+00:00,2024-04-19T17:42:00+00:00,2024-04-19T17:42:00+00:00,2024-04-19T17:42:00+00:00,Raleigh-durham International Airport,America/New_York,RDU,KRDU,2,D3,,1,2024-04-19T19:15:00+00:00,2024-04-19T19:15:00+00:00,2024-04-19T19:15:00+00:00,2024-04-19T19:15:00+00:00,2024-04-19T19:15:00+00:00,N304PQ,CRJ9,CRJ9,A32F82
2024-04-19DL1631None,2024-04-19,landed,1631,DL1631,DAL1631,Delta Air Lines,DL,DAL,La Guardia,America/New_York,LGA,KLGA,C,78,15,2024-04-19T17:30:00+00:00,2024-04-19T17:30:00+00:00,2024-04-19T17:44:00+00:00,2024-04-19T17:44:00+00:00,2024-04-19T17:44:00+00:00,Detroit Metropolitan Wayne County,America/Detroit,DTW,KDTW,EM,A74,4,,2024-04-19T19:31:00+00:00,2024-04-19T19:31:00+00:00,2024-04-19T19:10:00+00:00,2024-04-19T19:10:00+00:00,2024-04-19T19:10:00+00:00,None,None,None,None
2024-04-19DL3734E75L,2024-04-19,landed,3734,DL3734,DAL3734,Delta Air Lines,DL,DAL,La Guardia,America/New_York,LGA,KLGA,C,69,28,2024-04-19T17:30:00+00:00,2024-04-19T17:30:00+00:00,2024-04-19T17:58:00+00:00,2024-04-19T17:58:00+00:00,2024-04-19T17:58:00+00:00,Will Rogers World Airport,America/Chicago,OKC,KOKC,C,28,,1,2024-04-19T20:31:00+00:00,2024-04-19T20:31:00+00:00,2024-04-19T20:32:00+00:00,2024-04-19T20:32:00+00:00,2024-04-19T20:32:00+00:00,N251SY,E75L,E75L,A25CDC
2024-04-19DL5669None,2024-04-19,landed,5669,DL5669,DAL5669,Delta Air Lines,DL,DAL,La Guardia,America/New_York,LGA,KLGA,C,98,9,2024-04-19T17:30:00+00:00,2024-04-19T17:30:00+00:00,2024-04-19T17:38:00+00:00,2024-04-19T17:38:00+00:00,2024-04-19T17:38:00+00:00,Port Columbus International,America/New_York,CMH,KCMH,A,C54,,,2024-04-19T19:27:00+00:00,2024-04-19T19:27:00+00:00,2024-04-19T18:58:00+00:00,2024-04-19T18:58:00+00:00,2024-04-19T18:58:00+00:00,None,None,None,None
2024-04-19DL7784None,2024-04-19,landed,7784,DL7784,DAL7784,Delta Air Lines,DL,DAL,Kansai International,Asia/Tokyo,KIX,RJBB,1,10,9,2024-04-19T09:15:00+00:00,2024-04-19T09:15:00+00:00,2024-04-19T09:23:00+00:00,2024-04-19T09:23:00+00:00,2024-04-19T09:23:00+00:00,Seoul (Incheon),Asia/Seoul,ICN,RKSI,2,238,3,,2024-04-19T11:05:00+00:00,2024-04-19T11:05:00+00:00,2024-04-19T10:55:00+00:00,2024-04-19T10:55:00+00:00,2024-04-19T10:55:00+00:00,None,None,None,None
