id,registration,iata,icao,icao24
2024-04-14DL1144B739,N880DN,B739,B739,AC1E2D
2024-04-14DL7844None,None,None,None,None
2024-04-14DL1723A321,N389DN,A321,A321,A47D11
2024-04-14DL9502None,None,None,None,None
2024-04-14DL7885None,None,None,None,None
2024-04-14DL7805None,None,None,None,None
2024-04-14DL6463None,None,None,None,None
2024-04-14DL7815None,None,None,None,None
2024-04-14DL8042None,None,None,None,None
2024-04-14DL113A333,N809NW,A333,A333,AB048D
2024-04-14DL5233None,None,None,None,None
2024-04-14DL7708None,None,None,None,None
2024-04-14DL6202None,None,None,None,None
2024-04-14DL6452None,None,None,None,None
2024-04-14DL2325None,None,None,None,None
2024-04-14DL7736None,None,None,None,None
2024-04-14DL7879None,None,None,None,None
2024-04-14DL6556None,None,None,None,None
2024-04-14DL8627None,None,None,None,None
2024-04-14DL6778None,None,None,None,None
2024-04-14DL7513None,None,None,None,None
2024-04-14DL7893None,None,None,None,None
2024-04-14DL9500None,None,None,None,None
2024-04-14DL8571None,None,None,None,None
2024-04-14DL6697None,None,None,None,None
2024-04-14DL40A359,N513DZ,A359,A359,A66CF7
2024-04-14DL2125B738,N385DN,B738,B738,A46E35
2024-04-14DL7859None,None,None,None,None
2024-04-14DL7890None,None,None,None,None
2024-04-14DL8843B752,N650DL,B752,B752,A88D10
2024-04-14DL7861None,None,None,None,None
2024-04-14DL6913None,None,None,None,None
2024-04-14DL7179None,None,None,None,None
2024-04-14DL6917None,None,None,None,None
2024-04-14DL7951None,None,None,None,None
2024-04-14DL1392None,None,None,None,None
2024-04-14DL6973None,None,None,None,None
2024-04-14DL8686None,None,None,None,None
2024-04-14DL6025None,None,None,None,None
2024-04-14DL6965None,None,None,None,None
2024-04-14DL6972None,None,None,None,None
2024-04-14DL6872None,None,None,None,None
2024-04-14DL4308CRJ9,N839SK,CRJ9,CRJ9,AB7B63
2024-04-14DL417None,None,None,None,None
2024-04-14DL6935None,None,None,None,None
2024-04-14DL2120A319,N322NB,A319,A319,A376EC
2024-04-14DL1248A319,N360NB,A319,A319,A40D7A
2024-04-14DL7949None,None,None,None,None
2024-04-14DL7842None,None,None,None,None
2024-04-14DL1361B738,N3732J,B738,B738,A44197
2024-04-14DL2072A321,N397DN,A321,A321,A49D22
2024-04-14DL1032A320,N337NW,A320,A320,A3B111
2024-04-14DL2078None,None,None,None,None
2024-04-14DL2549A320,N375NC,A320,A320,A4478D
2024-04-14DL2001B739,N945DZ,B739,B739,AD201E
2024-04-14DL6043None,None,None,None,None
2024-04-14DL1669None,None,None,None,None
2024-04-14DL2721None,None,None,None,None
2024-04-14DL6884None,None,None,None,None
2024-04-14DL3893None,None,None,None,None
2024-04-14DL9471None,None,None,None,None
2024-04-14DL3660E75L,N260SY,E75L,E75L,A280A4
2024-04-14DL2782A321,N325DN,A321,A321,A3813B
2024-04-14DL1264B739,N830DN,B739,B739,AB58B2
2024-04-14DL1718None,None,None,None,None
2024-04-14DL2929B712,N998AT,B712,B712,ADF06D
2024-04-14DL1555B738,N3740C,B738,B738,A44502
2024-04-14DL1469None,None,None,None,None
2024-04-14DL1296None,None,None,None,None
2024-04-14DL1730None,None,None,None,None
2024-04-14DL1578B739,N825DN,B739,B739,AB43C6
2024-04-14DL699None,None,None,None,None
2024-04-14DL674B739,N845DN,B739,B739,AB92C4
2024-04-14DL1433None,None,None,None,None
2024-04-14DL1131None,None,None,None,None
2024-04-14DL1432BCS1,N145DQ,BCS1,BCS1,A0B59D
2024-04-14DL838B739,N915DU,B739,B739,ACA99C
2024-04-14DL450B738,N375DA,B738,B738,A446AA
2024-04-14DL692BCS3,N301DU,BCS3,BCS3,A32367
2024-04-14DL4141None,None,None,None,None
2024-04-14DL2995A319,N357NB,A319,A319,A3FFFC
2024-04-14DL3832E75L,N289SY,E75L,E75L,A2F111
2024-04-14DL3808None,None,None,None,None
2024-04-14DL4124E75L,N284SY,E75L,E75L,A2DE7E
2024-04-14DL4289CRJ7,N641CA,CRJ7,CRJ7,A86925
2024-04-14DL4948CRJ9,N146PQ,CRJ9,CRJ9,A0BA4E
2024-04-14DL930B712,N970AT,B712,B712,AD83B7
2024-04-14DL4934None,None,None,None,None
2024-04-14DL1272None,None,None,None,None
2024-04-14DL1672None,None,None,None,None
2024-04-14DL3783None,None,None,None,None
2024-04-14DL3950None,None,None,None,None
2024-04-14DL820None,None,None,None,None
2024-04-14DL1728A321,N358DN,A321,A321,A402DD
2024-04-14DL4002None,None,None,None,None
2024-04-14DL4873CRJ9,N272PQ,CRJ9,CRJ9,A2AF3E
2024-04-14DL2468None,None,None,None,None
2024-04-14DL2284B712,N895AT,B712,B712,AC57F9
2024-04-14DL162A333,N815NW,A333,A333,AB1D30
2024-04-14DL3659E75L,N307SY,E75L,E75L,A33AFA
