id,airport,timezone,iata,icao,terminal,gate,baggage,delay,scheduled,estimated,actual,estimated_runway,actual_runway
2024-04-14DL1144B739,Los Angeles International,America/Los_Angeles,LAX,KLAX,3,37B,22,,2024-04-14T11:49:00+00:00,2024-04-14T11:49:00+00:00,2024-04-14T11:42:00+00:00,2024-04-14T11:42:00+00:00,2024-04-14T11:42:00+00:00
2024-04-14DL7844None,Seoul (Incheon),Asia/Seoul,ICN,RKSI,2,232,1,,2024-04-15T05:20:00+00:00,2024-04-15T05:20:00+00:00,2024-04-15T04:19:00+00:00,2024-04-15T04:19:00+00:00,2024-04-15T04:19:00+00:00
2024-04-14DL1723A321,Detroit Metropolitan Wayne County,America/Detroit,DTW,KDTW,EM,A23,9,,2024-04-14T11:29:00+00:00,2024-04-14T11:29:00+00:00,2024-04-14T11:00:00+00:00,2024-04-14T11:00:00+00:00,2024-04-14T11:00:00+00:00
2024-04-14DL9502None,Schiphol,Europe/Amsterdam,AMS,EHAM,2,A08,009,,2024-04-14T11:35:00+00:00,2024-04-14T11:35:00+00:00,2024-04-14T11:31:00+00:00,2024-04-14T11:31:00+00:00,2024-04-14T11:31:00+00:00
2024-04-14DL7885None,New Ulaanbaator International Airport,,UBN,ZMCK,,,,,2024-04-14T10:50:00+00:00,2024-04-14T10:50:00+00:00,,,
2024-04-14DL7805None,Noibai International,Asia/Ho_Chi_Minh,HAN,VVNB,T2,,,,2024-04-14T10:55:00+00:00,2024-04-14T10:55:00+00:00,2024-04-14T10:51:00+00:00,2024-04-14T10:51:00+00:00,2024-04-14T10:51:00+00:00
2024-04-14DL6463None,Shanghai Pudong International,Asia/Shanghai,PVG,ZSPD,1,,04,,2024-04-14T08:50:00+00:00,2024-04-14T08:50:00+00:00,2024-04-14T08:29:00+00:00,2024-04-14T08:29:00+00:00,2024-04-14T08:29:00+00:00
2024-04-14DL7815None,Tan Son Nhat International,Asia/Ho_Chi_Minh,SGN,VVTS,2,,,,2024-04-14T12:35:00+00:00,2024-04-14T12:35:00+00:00,2024-04-14T12:32:00+00:00,2024-04-14T12:32:00+00:00,2024-04-14T12:32:00+00:00
2024-04-14DL8042None,John F Kennedy International,America/New_York,JFK,KJFK,4,,,,2024-04-15T05:57:00+00:00,2024-04-15T05:57:00+00:00,2024-04-15T05:45:00+00:00,2024-04-15T05:45:00+00:00,2024-04-15T05:45:00+00:00
2024-04-14DL113A333,Logan International,America/New_York,BOS,KBOS,E,E16,5,,2024-04-14T14:00:00+00:00,2024-04-14T14:00:00+00:00,2024-04-14T13:18:00+00:00,2024-04-14T13:18:00+00:00,2024-04-14T13:18:00+00:00
2024-04-14DL5233None,Buffalo Niagara International,America/New_York,BUF,KBUF,A,23,,6,2024-04-14T08:49:00+00:00,2024-04-14T08:49:00+00:00,2024-04-14T08:55:00+00:00,2024-04-14T08:55:00+00:00,2024-04-14T08:55:00+00:00
