id,airport,timezone,iata,icao,terminal,gate,delay,scheduled,estimated,actual,estimated_runway,actual_runway
2024-04-14DL1144B739,Miami International Airport,America/New_York,MIA,KMIA,S,H11,18,2024-04-14T09:00:00+00:00,2024-04-14T09:00:00+00:00,2024-04-14T09:17:00+00:00,2024-04-14T09:17:00+00:00,2024-04-14T09:17:00+00:00
2024-04-14DL7844None,John F Kennedy International,America/New_York,JFK,KJFK,1,7,21,2024-04-14T00:50:00+00:00,2024-04-14T00:50:00+00:00,2024-04-14T01:11:00+00:00,2024-04-14T01:11:00+00:00,2024-04-14T01:11:00+00:00
2024-04-14DL1723A321,Salt Lake City International,America/Denver,SLC,KSLC,,A29,7,2024-04-14T06:00:00+00:00,2024-04-14T06:00:00+00:00,2024-04-14T06:07:00+00:00,2024-04-14T06:07:00+00:00,2024-04-14T06:07:00+00:00
2024-04-14DL9502None,Edinburgh,Europe/London,EDI,EGPH,,11,15,2024-04-14T09:10:00+00:00,2024-04-14T09:10:00+00:00,2024-04-14T09:24:00+00:00,2024-04-14T09:24:00+00:00,2024-04-14T09:24:00+00:00
2024-04-14DL7885None,Seoul (Incheon),Asia/Seoul,ICN,RKSI,2,239,19,2024-04-14T08:10:00+00:00,2024-04-14T08:10:00+00:00,2024-04-14T08:29:00+00:00,2024-04-14T08:29:00+00:00,2024-04-14T08:29:00+00:00
2024-04-14DL7805None,Seoul (Incheon),Asia/Seoul,ICN,RKSI,2,235,17,2024-04-14T08:10:00+00:00,2024-04-14T08:10:00+00:00,2024-04-14T08:27:00+00:00,2024-04-14T08:27:00+00:00,2024-04-14T08:27:00+00:00
2024-04-14DL6463None,Jinan,Asia/Shanghai,TNA,ZSJN,,24,6,2024-04-14T07:15:00+00:00,2024-04-14T07:15:00+00:00,2024-04-14T07:21:00+00:00,2024-04-14T07:21:00+00:00,2024-04-14T07:21:00+00:00
2024-04-14DL7815None,Seoul (Incheon),Asia/Seoul,ICN,RKSI,2,245,28,2024-04-14T09:05:00+00:00,2024-04-14T09:05:00+00:00,2024-04-14T09:32:00+00:00,2024-04-14T09:32:00+00:00,2024-04-14T09:32:00+00:00
2024-04-14DL8042None,Internacional Benito Juarez,America/Mexico_City,MEX,MMMX,2,64,30,2024-04-14T23:00:00+00:00,2024-04-14T23:00:00+00:00,2024-04-14T23:29:00+00:00,2024-04-14T23:29:00+00:00,2024-04-14T23:29:00+00:00
2024-04-14DL113A333,Leonardo Da Vinci (Fiumicino),Europe/Rome,FCO,LIRF,3,E13,20,2024-04-14T10:35:00+00:00,2024-04-14T10:35:00+00:00,2024-04-14T10:54:00+00:00,2024-04-14T10:54:00+00:00,2024-04-14T10:54:00+00:00
2024-04-14DL5233None,Detroit Metropolitan Wayne County,America/Detroit,DTW,KDTW,EM,B1,19,2024-04-14T07:40:00+00:00,2024-04-14T07:40:00+00:00,2024-04-14T07:59:00+00:00,2024-04-14T07:59:00+00:00,2024-04-14T07:59:00+00:00
2024-04-14DL7708None,Kahului,Pacific/Honolulu,OGG,PHOG,,,12,2024-04-14T16:12:00+00:00,2024-04-14T16:12:00+00:00,,,
2024-04-14DL6202None,Aeroporto Internacional Guarulhos,America/Sao_Paulo,GRU,SBGR,2,,13,2024-04-14T08:15:00+00:00,2024-04-14T08:15:00+00:00,2024-04-14T08:27:00+00:00,2024-04-14T08:27:00+00:00,2024-04-14T08:27:00+00:00
2024-04-14DL6452None,Changsha,Asia/Shanghai,CSX,ZGHA,2,35,55,2024-04-14T07:50:00+00:00,2024-04-14T07:50:00+00:00,2024-04-14T08:45:00+00:00,2024-04-14T08:45:00+00:00,2024-04-14T08:45:00+00:00
2024-04-14DL2325None,Hartsfield-jackson Atlanta International,America/New_York,ATL,KATL,S,B22,24,2024-04-14T07:05:00+00:00,2024-04-14T07:05:00+00:00,2024-04-14T07:29:00+00:00,2024-04-14T07:29:00+00:00,2024-04-14T07:29:00+00:00
2024-04-14DL7736None,Taiwan Taoyuan International (Chiang Kai Shek International),Asia/Taipei,TPE,RCTP,2,D5,26,2024-04-14T17:00:00+00:00,2024-04-14T17:00:00+00:00,2024-04-14T17:26:00+00:00,2024-04-14T17:26:00+00:00,2024-04-14T17:26:00+00:00
2024-04-14DL7879None,Seoul (Incheon),Asia/Seoul,ICN,RKSI,2,238,27,2024-04-14T08:25:00+00:00,2024-04-14T08:25:00+00:00,2024-04-14T08:52:00+00:00,2024-04-14T08:52:00+00:00,2024-04-14T08:52:00+00:00
2024-04-14DL6556None,Nanning,Asia/Shanghai,NNG,ZGNN,T2,,17,2024-04-14T07:35:00+00:00,2024-04-14T07:35:00+00:00,2024-04-14T07:52:00+00:00,2024-04-14T07:52:00+00:00,2024-04-14T07:52:00+00:00
2024-04-14DL8627None,Dubai,Asia/Dubai,DXB,OMDB,1,D17,66,2024-04-14T00:40:00+00:00,2024-04-14T00:40:00+00:00,2024-04-14T01:46:00+00:00,2024-04-14T01:46:00+00:00,2024-04-14T01:46:00+00:00
2024-04-14DL6778None,Son Sant Joan Airport,Europe/Madrid,PMI,LEPA,,D98,16,2024-04-14T10:15:00+00:00,2024-04-14T10:15:00+00:00,2024-04-14T10:30:00+00:00,2024-04-14T10:30:00+00:00,2024-04-14T10:30:00+00:00
