id,number,iata,icao
2024-04-14DL1144B739,1144,DL1144,DAL1144
2024-04-14DL7844None,7844,DL7844,DAL7844
2024-04-14DL1723A321,1723,DL1723,DAL1723
2024-04-14DL9502None,9502,DL9502,DAL9502
2024-04-14DL7885None,7885,DL7885,DAL7885
2024-04-14DL7805None,7805,DL7805,DAL7805
2024-04-14DL6463None,6463,DL6463,DAL6463
2024-04-14DL7815None,7815,DL7815,DAL7815
2024-04-14DL8042None,8042,DL8042,DAL8042
2024-04-14DL113A333,113,DL113,DAL113
2024-04-14DL5233None,5233,DL5233,DAL5233
2024-04-14DL7708None,7708,DL7708,DAL7708
2024-04-14DL6202None,6202,DL6202,DAL6202
2024-04-14DL6452None,6452,DL6452,DAL6452
2024-04-14DL2325None,2325,DL2325,DAL2325
2024-04-14DL7736None,7736,DL7736,DAL7736
2024-04-14DL7879None,7879,DL7879,DAL7879
2024-04-14DL6556None,6556,DL6556,DAL6556
2024-04-14DL8627None,8627,DL8627,DAL8627
2024-04-14DL6778None,6778,DL6778,DAL6778
2024-04-14DL7513None,7513,DL7513,DAL7513
2024-04-14DL7893None,7893,DL7893,DAL7893
2024-04-14DL9500None,9500,DL9500,DAL9500
2024-04-14DL8571None,8571,DL8571,DAL8571
2024-04-14DL6697None,6697,DL6697,DAL6697
2024-04-14DL40A359,40,DL40,DAL40
2024-04-14DL2125B738,2125,DL2125,DAL2125
2024-04-14DL7859None,7859,DL7859,DAL7859
2024-04-14DL7890None,7890,DL7890,DAL7890
2024-04-14DL8843B752,8843,DL8843,DAL8843
2024-04-14DL7861None,7861,DL7861,DAL7861
2024-04-14DL6913None,6913,DL6913,DAL6913
2024-04-14DL7179None,7179,DL7179,DAL7179
2024-04-14DL6917None,6917,DL6917,DAL6917
2024-04-14DL7951None,7951,DL7951,DAL7951
2024-04-14DL1392None,1392,DL1392,DAL1392
2024-04-14DL6973None,6973,DL6973,DAL6973
2024-04-14DL8686None,8686,DL8686,DAL8686
2024-04-14DL6025None,6025,DL6025,DAL6025
2024-04-14DL6965None,6965,DL6965,DAL6965
2024-04-14DL6972None,6972,DL6972,DAL6972
2024-04-14DL6872None,6872,DL6872,DAL6872
2024-04-14DL4308CRJ9,4308,DL4308,DAL4308
2024-04-14DL417None,417,DL417,DAL417
2024-04-14DL6935None,6935,DL6935,DAL6935
2024-04-14DL2120A319,2120,DL2120,DAL2120
2024-04-14DL1248A319,1248,DL1248,DAL1248
2024-04-14DL7949None,7949,DL7949,DAL7949
2024-04-14DL7842None,7842,DL7842,DAL7842
2024-04-14DL1361B738,1361,DL1361,DAL1361
2024-04-14DL2072A321,2072,DL2072,DAL2072
2024-04-14DL1032A320,1032,DL1032,DAL1032
2024-04-14DL2078None,2078,DL2078,DAL2078
2024-04-14DL2549A320,2549,DL2549,DAL2549
2024-04-14DL2001B739,2001,DL2001,DAL2001
2024-04-14DL6043None,6043,DL6043,DAL6043
2024-04-14DL1669None,1669,DL1669,DAL1669
2024-04-14DL2721None,2721,DL2721,DAL2721
2024-04-14DL6884None,6884,DL6884,DAL6884
2024-04-14DL3893None,3893,DL3893,DAL3893
2024-04-14DL9471None,9471,DL9471,DAL9471
2024-04-14DL3660E75L,3660,DL3660,DAL3660
2024-04-14DL2782A321,2782,DL2782,DAL2782
2024-04-14DL1264B739,1264,DL1264,DAL1264
2024-04-14DL1718None,1718,DL1718,DAL1718
2024-04-14DL2929B712,2929,DL2929,DAL2929
2024-04-14DL1555B738,1555,DL1555,DAL1555
2024-04-14DL1469None,1469,DL1469,DAL1469
2024-04-14DL1296None,1296,DL1296,DAL1296
2024-04-14DL1730None,1730,DL1730,DAL1730
2024-04-14DL1578B739,1578,DL1578,DAL1578
2024-04-14DL699None,699,DL699,DAL699
2024-04-14DL674B739,674,DL674,DAL674
2024-04-14DL1433None,1433,DL1433,DAL1433
2024-04-14DL1131None,1131,DL1131,DAL1131
2024-04-14DL1432BCS1,1432,DL1432,DAL1432
2024-04-14DL838B739,838,DL838,DAL838
2024-04-14DL450B738,450,DL450,DAL450
2024-04-14DL692BCS3,692,DL692,DAL692
2024-04-14DL4141None,4141,DL4141,DAL4141
2024-04-14DL2995A319,2995,DL2995,DAL2995
2024-04-14DL3832E75L,3832,DL3832,DAL3832
2024-04-14DL3808None,3808,DL3808,DAL3808
2024-04-14DL4124E75L,4124,DL4124,DAL4124
2024-04-14DL4289CRJ7,4289,DL4289,DAL4289
2024-04-14DL4948CRJ9,4948,DL4948,DAL4948
2024-04-14DL930B712,930,DL930,DAL930
2024-04-14DL4934None,4934,DL4934,DAL4934
2024-04-14DL1272None,1272,DL1272,DAL1272
2024-04-14DL1672None,1672,DL1672,DAL1672
2024-04-14DL3783None,3783,DL3783,DAL3783
2024-04-14DL3950None,3950,DL3950,DAL3950
2024-04-14DL820None,820,DL820,DAL820
2024-04-14DL1728A321,1728,DL1728,DAL1728
2024-04-14DL4002None,4002,DL4002,DAL4002
2024-04-14DL4873CRJ9,4873,DL4873,DAL4873
2024-04-14DL2468None,2468,DL2468,DAL2468
2024-04-14DL2284B712,2284,DL2284,DAL2284
2024-04-14DL162A333,162,DL162,DAL162
2024-04-14DL3659E75L,3659,DL3659,DAL3659
